Member_ID,FName,LName,Gender_,Position,Hire_Date,City,Country,DOB,Email,Phone
1,Madelaine,Crossan,F,Account Coordinator,5/27/2000,NULL,Taiwan,NULL,mcrossan0@springer.com,484-432-6270
2,Barnard,Bewlie,M,General Manager,12/21/2001,Troparëvo,Russia,5/21/1961,bbewlie1@clickbank.net,454-413-5087
3,Dorella,Truggian,F,Research Associate,11/26/2014,Dongtuan,China,NULL,dtruggian2@jimdo.com,908-186-6625
4,Alejandro,Yaakov,M,Senior Sales Associate,10/10/2009,Jiangkou,China,NULL,NULL,945-221-9788
5,Charmaine,Salleir,F,Assistant Professor,4/21/2012,Chinameca,El Salvador,NULL,NULL,965-263-4615
6,Ester,Hanney,F,Web Developer III,5/7/2001,NULL,Armenia,5/19/1959,NULL,935-832-7039
7,Josephina,Dainty,F,Senior Cost Accountant,1/28/2015,Borovlyany,NULL,NULL,jdainty6@cnbc.com,730-318-5410
8,Haze,Ughelli,M,Associate Professor,8/24/2005,Xi’an,China,10/28/1969,NULL,596-410-9275
9,Kearney,Branford,M,Editor,8/21/2007,NULL,Finland,11/21/1985,NULL,172-979-5100
10,Christiano,Tinmouth,M,Business Systems Development Analyst,8/23/2012,Garko,Nigeria,NULL,NULL,733-291-8532
11,Tressa,Vernham,F,Librarian,8/7/2019,Göteborg,Sweden,5/13/2008,tvernhama@constantcontact.com,867-566-3758
12,Ossie,Sherringham,M,Senior Quality Engineer,9/13/2006,NULL,China,NULL,NULL,844-760-2376
13,Gay,Johl,M,Assistant Professor,12/31/2015,Xieba,China,NULL,gjohlc@google.co.uk,952-286-6537
14,Myranda,Gooly,F,Senior Editor,6/26/2013,NULL,United States,NULL,NULL,860-282-7575
15,Drucie,Fruchon,F,Administrative Officer,2/24/2010,Probolinggo,Indonesia,NULL,NULL,863-480-5361
16,Edlin,O'Garmen,M,Quality Control Specialist,4/5/2020,NULL,China,NULL,eogarmenf@yellowpages.com,855-683-4583
17,Perice,Lawful,M,Data Coordinator,11/13/2018,NULL,China,NULL,plawfulg@bigcartel.com,340-202-7483
18,Shauna,Gowanson,F,Payment Adjustment Coordinator,4/23/2020,NULL,Poland,3/4/1976,NULL,410-795-8210
19,Abe,Dibdin,M,Mechanical Systems Engineer,11/21/2013,Ohafia-Ifigh,Nigeria,10/14/2000,NULL,922-411-0279
20,Sarajane,Hardingham,F,VP Marketing,5/9/2013,NULL,Russia,NULL,NULL,504-747-8263
21,Bridie,Hatcliffe,F,Account Coordinator,2/23/2003,NULL,Turkmenistan,NULL,NULL,393-847-9942
22,Nedi,Boykett,F,Technical Writer,7/19/2004,Cigadung,Indonesia,6/1/1973,NULL,722-490-8548
23,Cate,Ennion,F,Staff Scientist,1/7/2015,Ilici,Bosnia and Herzegovina,11/18/1960,cennionm@unc.edu,457-761-4979
24,Rea,Derks,F,General Manager,11/17/2015,Thành Ph? Ph? Lý,Vietnam,NULL,rderksn@dmoz.org,220-470-3711
25,Brent,Mintram,M,Research Assistant IV,7/8/2004,Hecun,China,NULL,NULL,295-566-3416
